Sensor Temperature (C),Dark Current (e/s/pix)
-20.09350968,0.034743203
-19.34417769,0.051263604
-18.57826756,0.06435822
-17.78334569,0.075476521
-17.04644731,0.08986958
-16.28053718,0.102286324
-15.51462705,0.116155651
-14.74871693,0.125183038
-13.9828068,0.138761848
-13.21689667,0.150016527
-12.45098654,0.161464884
-11.68507641,0.173203757
-10.91916629,0.184458437
-10.15325616,0.196100471
-9.387346031,0.209388764
-8.621435903,0.224323317
-7.855525776,0.238967353
-7.089615648,0.25351455
-6.32370552,0.267964909
-5.557795392,0.284158365
-4.791885265,0.294735173
-4.025975137,0.307442434
-3.260065009,0.318309758
-2.494154881,0.330048632
-1.728244754,0.341012795
-0.962334626,0.352461151
-0.196424498,0.364103186
0.56948563,0.376616769
1.335395757,0.392616548
2.101305885,0.407357423
2.867216013,0.422291975
3.633126141,0.43703285
4.447240402,0.453071221
5.110791134,0.459981852
5.930856524,0.482320702
6.696766651,0.497933126
7.462676779,0.513545549
8.228586907,0.528964296
8.994497035,0.54457672
9.760407162,0.561932241
10.52631729,0.572896404
11.29222742,0.588315151
12.05813755,0.602087638
12.82404767,0.61624748
13.5899578,0.629923129
14.35586793,0.645826069
15.12177806,0.656983909
15.88768818,0.672208978
16.65359831,0.68636882
17.41950844,0.700625502
18.18541857,0.714785344
18.9513287,0.728945186
19.71723882,0.744751288
20.48314895,0.755328096
21.24905908,0.771424713
22.01496921,0.785390878
22.78087933,0.79955072
23.54678946,0.813420046
24.31269959,0.828548276
25.07860972,0.840674505
25.84451984,0.858223704
26.61042997,0.874223483
27.3763401,0.890804294
28.14225023,0.906707234
28.90816036,0.923094368
29.67407048,0.941321439
