Gain Setting (0.1 dB),Well Depth
0.328735259,66411.35922
7.439267051,60172.74069
23.82440553,50382.89933
47.39736418,38816.65387
51.33907203,38601.85723
67.7242105,30239.37593
99.25787323,21200.18008
118.5726097,15447.59175
122.3413388,14954.91459
149.3407493,10420.12675
160.7794309,9020.19101
181.4927192,6988.123448
198.0443249,5573.281852
201.7422771,5581.614325
209.9348463,5009.182722
230.338981,4012.093796
249.6537175,3151.252989
253.2163442,3322.267905
286.6049283,2016.24874
299.5893776,1726.104368
303.2992203,1726.104368
349.6722537,991.0089135
359.5651675,906.8161417
371.9313098,793.7463923
399.7551298,594.7948905
416.4494218,498.0243669
433.762021,403.343057
449.8380059,333.9936106
